RawSpecies,CleanSpecies,Notes
Acanthis flammea,Carduelis flammea,
Acanthis hornemanni,Carduelis hornemanni,
Accipiter cooperii,Accipiter cooperii,
Accipiter gentilis,Accipiter gentilis,
Accipiter striatus,Accipiter striatus,
Actitis macularius,Actitis macularius,
Aeronautes saxatalis,Aeronautes saxatalis,
Agelaius phoeniceus,Agelaius phoeniceus,
Aimophila ruficeps,Aimophila ruficeps,
Aix sponsa,Aix sponsa,
Ammodramus henslowii,Ammodramus henslowii,
Ammodramus nelsoni,Ammodramus nelsoni,
Ammodramus savannarum,Ammodramus savannarum,
Amphispiza bilineata,Amphispiza bilineata,
Anas americana,Anas americana,
Anas carolinensis carolinensis,Anas crecca,
Anas clypeata,Anas clypeata,
Anas discors,Anas discors,
Anas platyrhynchos,Anas platyrhynchos,
Anas strepera,Anas strepera,
Anthracothorax dominicus,Anthracothorax dominicus,
Anthus rubescens,Anthus rubescens,
Antrostomus carolinensis,Caprimulgus vociferus,genus change
Antrostomus noctitherus,Caprimulgus noctitherus,genus change
Aphelocoma californica,Aphelocoma californica,california scrub jay
Aphelocoma wollweberi,Aphelocoma ultramarina,"mexican jay, separated from the transvolcanic jay"
Aphelocoma woodhouseii,Aphelocoma californica,"woodhouse's scrub jay, split from california scrub jay"
Aquila chrysaetos,Aquila chrysaetos,
Archilochus alexandri,Archilochus alexandri,
Archilochus colubris,Archilochus colubris,
Ardea alba,Casmerodius albus,former name
Ardea herodias,Ardea herodias,
Artemisiospiza nevadensis,Amphispiza belli,formerly grouped into sage sparrow
Asio flammeus,Asio flammeus,
Asio otus,Asio otus,
Auriparus flaviceps,Auriparus flaviceps,
Aythya affinis,Aythya affinis,
Baeolophus bicolor,Baeolophus bicolor,
Baeolophus inornatus,Baeolophus inornatus,
Baeolophus ridgwayi,Baeolophus ridgwayi,
Bartramia longicauda,Bartramia longicauda,
Bombycilla cedrorum,Bombycilla cedrorum,
Bonasa umbellus,Bonasa umbellus,
Branta canadensis,Branta canadensis,
Bubo virginianus,Bubo virginianus,
Bubulcus ibis,Bubulcus ibis,
Buteo jamaicensis,Buteo jamaicensis,
Buteo lineatus,Buteo lineatus,
Buteo plagiatus,Buteo nitidus,
Buteo platypterus,Buteo platypterus,
Buteo swainsoni,Buteo swainsoni,
Butorides virescens,Butorides virescens,
Calamospiza melanocorys,Calamospiza melanocorys,
Calcarius lapponicus,Calcarius lapponicus,
Calcarius pictus,Calcarius pictus,
Calidris minutilla,Calidris minutilla,
Calidris pusilla,Calidris pusilla,
Callipepla californica,Callipepla californica,
Callipepla gambelii,Callipepla gambelii,
Callipepla squamata,Callipepla squamata,
Calypte anna,Calypte anna,
Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,
Cardellina canadensis,Wilsonia canadensis,genus change
Cardellina pusilla,Wilsonia pusilla,genus change
Cardinalis cardinalis,Cardinalis cardinalis,
Cardinalis sinuatus,Cardinalis sinuatus,
Cathartes aura,Cathartes aura,
Catharus fuscescens,Catharus fuscescens,
Catharus guttatus,Catharus guttatus,
Catharus minimus,Catharus minimus,
Catharus ustulatus,Catharus ustulatus,
Catherpes mexicanus,Catherpes mexicanus,
Certhia americana,Certhia americana,
Chaetura pelagica,Chaetura pelagica,
Charadrius vociferus,Charadrius vociferus,
Chlorostilbon maugaeus,Chlorostilbon maugaeus,
Chondestes grammacus,Chondestes grammacus,
Chordeiles acutipennis,Chordeiles acutipennis,
Chordeiles gundlachii,Chordeiles gundlachii,
Chordeiles minor,Chordeiles minor,
Circus cyaneus,Circus cyaneus,
Cistothorus palustris,Cistothorus palustris,
Cistothorus platensis,Cistothorus platensis,
Coccothraustes vespertinus,Coccothraustes vespertinus,
Coccyzus americanus,Coccyzus americanus,
Coccyzus erythropthalmus,Coccyzus erythropthalmus,
Coccyzus minor,Coccyzus minor,
Coccyzus vieilloti,Coccyzus vieilloti,
Coereba flaveola,Coereba flaveola,
Colaptes auratus,Colaptes auratus,
Colaptes auratus auratus,Colaptes auratus,Remove subspp
Colaptes chrysoides,Colaptes chrysoides,
Colinus virginianus,Colinus virginianus,
Columba livia,Columba livia,
Columbina passerina,Columbina passerina,
Contopus cooperi,Contopus cooperi,
Contopus latirostris,Contopus latirostris,
Contopus sordidulus,Contopus sordidulus,
Contopus virens,Contopus virens,
Coragyps atratus,Coragyps atratus,
Corvus brachyrhynchos,Corvus brachyrhynchos,
Corvus corax,Corvus corax,
Corvus cryptoleucus,Corvus cryptoleucus,
Corvus ossifragus,Corvus ossifragus,
Crotophaga ani,Crotophaga ani,
Cyanocitta cristata,Cyanocitta cristata,
Cyanocitta stelleri,Cyanocitta stelleri,
Cyrtonyx montezumae,Cyrtonyx montezumae,
Dendrocygna autumnalis,Dendrocygna autumnalis,
Dolichonyx oryzivorus,Dolichonyx oryzivorus,
Dryocopus pileatus,Dryocopus pileatus,
Dumetella carolinensis,Dumetella carolinensis,
Egretta caerulea,Egretta caerulea,
Egretta thula,Egretta thula,
Elaenia martinica,Elaenia martinica,
Empidonax alnorum,Empidonax alnorum,
Empidonax difficilis,Empidonax difficilis,
Empidonax hammondii,Empidonax hammondii,
Empidonax minimus,Empidonax minimus,
Empidonax oberholseri,Empidonax oberholseri,
Empidonax occidentalis,Empidonax occidentalis,
Empidonax traillii,Empidonax traillii,
Empidonax virescens,Empidonax virescens,
Empidonax wrightii,Empidonax wrightii,
Eremophila alpestris,Eremophila alpestris,
Euphagus cyanocephalus,Euphagus cyanocephalus,
Euphonia musica,Euphonia musica,
Falcipennis canadensis,Dendragapus canadensis,Genus change
Falco mexicanus,Falco mexicanus,
Falco sparverius,Falco sparverius,
Fregata magnificens,Fregata magnificens,
Gallinago delicata,Gallinago gallinago,Used to be subspecies of common snipe
Gallinula galeata,Gallinula chloropus,Split from common moorhen in 2011
Gavia immer,Gavia immer,
Geococcyx californianus,Geococcyx californianus,
Geothlypis formosa,Oporornis formosus,
Geothlypis philadelphia,Oporornis philadelphia,
Geothlypis tolmiei,Oporornis tolmiei,
Geothlypis trichas,Geothlypis trichas,
Geotrygon chrysia,Geotrygon chrysia,
Geotrygon montana,Geotrygon montana,
Glaucidium gnoma,Glaucidium gnoma,
Grus canadensis,Grus canadensis,
Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus,
Haemorhous cassinii,Carpodacus cassinii,"New genus, separated from old world rosefinches"
Haemorhous mexicanus,Carpodacus mexicanus,"New genus, separated from old world rosefinches"
Haemorhous purpureus,Carpodacus purpureus,"New genus, separated from old world rosefinches"
Haliaeetus leucocephalus,Haliaeetus leucocephalus,
Helmitheros vermivorum,Helmitheros vermivorum,
Hirundo rustica,Hirundo rustica,
Hylocichla mustelina,Hylocichla mustelina,
Icteria virens,Icteria virens,
Icterus bullockii,Icterus bullockii,
Icterus galbula,Icterus galbula,
Icterus icterus,Icterus icterus,
Icterus parisorum,Icterus parisorum,
Icterus spurius,Icterus spurius,
Ictinia mississippiensis,Ictinia mississippiensis,
Ixoreus naevius,Zoothera naevia,changed genus
Junco hyemalis,Junco hyemalis,
Junco hyemalis caniceps,Junco hyemalis,
Junco hyemalis oreganus,Junco hyemalis,
Lagopus lagopus,Lagopus lagopus,
Lanius ludovicianus,Lanius ludovicianus,
Larus californicus,Larus californicus,
Larus canus,Larus canus,
Larus delawarensis,Larus delawarensis,
Loxia curvirostra,Loxia curvirostra,
Loxia leucoptera,Loxia leucoptera,
Loxigilla portoricensis,Loxigilla portoricensis,
Margarops fuscatus,Margarops fuscatus,
Megaceryle alcyon,Megaceryle alcyon,
Megascops nudipes,Megascops nudipes,
Melanerpes carolinus,Melanerpes carolinus,
Melanerpes erythrocephalus,Melanerpes erythrocephalus,
Melanerpes formicivorus,Melanerpes formicivorus,
Melanerpes lewis,Melanerpes lewis,
Melanerpes portoricensis,Melanerpes portoricensis,
Meleagris gallopavo,Meleagris gallopavo,
Melospiza georgiana,Melospiza georgiana,
Melospiza lincolnii,Melospiza lincolnii,
Melospiza melodia,Melospiza melodia,
Melozone crissalis,Pipilo crissalis,towhee
Melozone fusca,Pipilo fuscus,towhee
Mergus merganser,Mergus merganser,
Mimus polyglottos,Mimus polyglottos,
Mniotilta varia,Mniotilta varia,
Molothrus ater,Molothrus ater,
Myadestes townsendi,Myadestes townsendi,
Myiarchus antillarum,Myiarchus antillarum,
Myiarchus cinerascens,Myiarchus cinerascens,
Myiarchus crinitus,Myiarchus crinitus,
Nucifraga columbiana,Nucifraga columbiana,
Numenius phaeopus,Numenius phaeopus,
Nyctanassa violacea,Nyctanassa violacea,
Nycticorax nycticorax,Nycticorax nycticorax,
Oreoscoptes montanus,Oreoscoptes montanus,
Oreothlypis celata,Vermivora celata,
Oreothlypis luciae,Vermivora luciae,
Oreothlypis ruficapilla,Vermivora ruficapilla,
Oreothlypis virginiae,Vermivora virginiae,
Oxyura jamaicensis,Oxyura jamaicensis,
Pandion haliaetus,Pandion haliaetus,
Parkesia motacilla,Seiurus motacilla,
Passer domesticus,Passer domesticus,
Passerculus sandwichensis,Passerculus sandwichensis,
Passerella iliaca,Passerella iliaca,
Passerina amoena,Passerina amoena,
Passerina caerulea,Passerina caerulea,
Passerina ciris,Passerina ciris,
Passerina cyanea,Passerina cyanea,
Patagioenas fasciata,Patagioenas fasciata,
Patagioenas squamosa,Patagioenas squamosa,
Pelecanus occidentalis,Pelecanus occidentalis,
Perisoreus canadensis,Perisoreus canadensis,
Petrochelidon fulva,Petrochelidon fulva,
Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,
Peucaea aestivalis,Aimophila aestivalis,
Peucaea botterii,Aimophila botterii,
Peucaea carpalis,Aimophila carpalis,
Peucaea cassinii,Aimophila cassinii,
Phainopepla nitens,Phainopepla nitens,
Phalacrocorax auritus,Phalacrocorax auritus,
Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,
Phasianus colchicus,Phasianus colchicus,
Pheucticus ludovicianus,Pheucticus ludovicianus,
Pheucticus melanocephalus,Pheucticus melanocephalus,
Pica hudsonia,Pica hudsonia,
Picoides arcticus,Picoides arcticus,
Picoides dorsalis,Picoides dorsalis,
Picoides nuttallii,Picoides nuttallii,
Picoides pubescens,Picoides pubescens,
Picoides scalaris,Picoides scalaris,
Picoides villosus,Picoides villosus,
Pinicola enucleator,Pinicola enucleator,
Pipilo chlorurus,Pipilo chlorurus,
Pipilo erythrophthalmus,Pipilo erythrophthalmus,
Pipilo maculatus,Pipilo maculatus,
Piranga ludoviciana,Piranga ludoviciana,
Piranga olivacea,Piranga olivacea,
Piranga rubra,Piranga rubra,
Plegadis falcinellus,Plegadis falcinellus,
Pluvialis dominica,Pluvialis dominica,
Podilymbus podiceps,Podilymbus podiceps,
Poecile atricapillus,Parus atricapillus,separated from the tits into Parus
Poecile carolinensis,Parus carolinensis,separated from the tits into Parus
Poecile gambeli,Parus gambeli,separated from the tits into Parus
Poecile hudsonicus,Parus hudsonicus,separated from the tits into Parus
Poecile rufescens,Parus rufescens,separated from the tits into Parus
Polioptila caerulea,Polioptila caerulea,
Polioptila melanura,Polioptila melanura,
Pooecetes gramineus,Pooecetes gramineus,
Porphyrio martinicus,Porphyrio martinica,
Porzana carolina,Porzana carolina,
Progne dominicensis,Progne dominicensis,
Progne subis,Progne subis,
Protonotaria citrea,Protonotaria citrea,
Psaltriparus minimus,Psaltriparus minimus,
Pyrocephalus rubinus,Pyrocephalus rubinus,
Quiscalus major,Quiscalus major,
Quiscalus mexicanus,Quiscalus mexicanus,
Quiscalus quiscula,Quiscalus quiscula,
Rallus limicola,Rallus limicola,
Regulus calendula,Regulus calendula,
Regulus satrapa,Regulus satrapa,
Rhynchophanes mccownii,Calcarius mccownii,genus change
Riparia riparia,Riparia riparia,
Salpinctes obsoletus,Salpinctes obsoletus,
Sayornis nigricans,Sayornis nigricans,
Sayornis phoebe,Sayornis phoebe,
Scolopax minor,Scolopax minor,
Seiurus aurocapilla,Seiurus aurocapilla,
Selasphorus calliope,Stellula calliope,
Selasphorus platycercus,Selasphorus platycercus,
Selasphorus rufus,Selasphorus rufus,
Setophaga adelaidae,Dendroica adelaidae,
Setophaga americana,Parula americana,
Setophaga caerulescens,Dendroica caerulescens,
Setophaga cerulea,Dendroica cerulea,
Setophaga citrina,Wilsonia citrina,
Setophaga coronata,Dendroica coronata,
Setophaga coronata auduboni,Dendroica coronata,
Setophaga coronata coronata,Dendroica coronata,
Setophaga discolor,Dendroica discolor,
Setophaga dominica,Dendroica dominica,
Setophaga fusca,Dendroica fusca,
Setophaga magnolia,Dendroica magnolia,
Setophaga nigrescens,Dendroica nigrescens,
Setophaga occidentalis,Dendroica occidentalis,
Setophaga pensylvanica,Dendroica pensylvanica,
Setophaga petechia,Dendroica petechia,
Setophaga pinus,Dendroica pinus,
Setophaga ruticilla,Setophaga ruticilla,
Setophaga striata,Dendroica striata,
Setophaga tigrina,Dendroica tigrina,
Setophaga townsendi,Dendroica townsendi,
Setophaga virens,Dendroica virens,
Sialia currucoides,Sialia currucoides,
Sialia mexicana,Sialia mexicana,
Sialia sialis,Sialia sialis,
Sitta canadensis,Sitta canadensis,
Sitta carolinensis,Sitta carolinensis,
Sitta pusilla,Sitta pusilla,
Sitta pygmaea,Sitta pygmaea,
Spermestes cucullata,Lonchura cucullata,
Sphyrapicus ruber,Sphyrapicus ruber,
Sphyrapicus thyroideus,Sphyrapicus thyroideus,
Sphyrapicus varius,Sphyrapicus varius,
Spinus lawrencei,Carduelis lawrencei,
Spinus pinus,Carduelis pinus,
Spinus psaltria,Carduelis psaltria,
Spinus tristis,Carduelis tristis,
Spiza americana,Spiza americana,
Spizella breweri,Spizella breweri,
Spizella pallida,Spizella pallida,
Spizella passerina,Spizella passerina,
Spizella pusilla,Spizella pusilla,
Spizelloides arborea,Spizella arborea,
Stelgidopteryx serripennis,Stelgidopteryx serripennis,
Streptopelia decaocto,Streptopelia decaocto,
Strix nebulosa,Strix nebulosa,
Strix varia,Strix varia,
Sturnella magna,Sturnella magna,
Sturnella neglecta,Sturnella neglecta,
Sturnus vulgaris,Sturnus vulgaris,
Surnia ulula,Surnia ulula,
Tachycineta bicolor,Tachycineta bicolor,
Tachycineta thalassina,Tachycineta thalassina,
Thalasseus maximus,Sterna maxima,
Thalasseus sandvicensis,Sterna sandvicensis,
Thryomanes bewickii,Thryomanes bewickii,
Thryothorus ludovicianus,Thryothorus ludovicianus,
Tiaris bicolor,Tiaris bicolor,
Todus mexicanus,Todus mexicanus,
Toxostoma crissale,Toxostoma crissale,
Toxostoma curvirostre,Toxostoma curvirostre,
Toxostoma rufum,Toxostoma rufum,
Tringa flavipes,Tringa flavipes,
Tringa melanoleuca,Tringa melanoleuca,
Tringa semipalmata,Catoptrophorus semipalmatus,
Tringa solitaria,Tringa solitaria,
Troglodytes aedon,Troglodytes aedon,
Troglodytes hiemalis,Troglodytes troglodytes,"winter wren, previously grouped with Eurasian winter wren"
Troglodytes pacificus,Troglodytes troglodytes,"pacific wren, previously grouped with Eurasian and NA winter wren"
Turdus migratorius,Turdus migratorius,
Turdus plumbeus,Turdus plumbeus,
Tympanuchus cupido,Tympanuchus cupido,
Tympanuchus phasianellus,Tympanuchus phasianellus,
Tyrannus dominicensis,Tyrannus dominicensis,
Tyrannus forficatus,Tyrannus forficatus,
Tyrannus tyrannus,Tyrannus tyrannus,
Tyrannus verticalis,Tyrannus verticalis,
Tyrannus vociferans,Tyrannus vociferans,
Vermivora chrysoptera,Vermivora chrysoptera,
Vermivora cyanoptera,Vermivora pinus,
Vireo altiloquus,Vireo altiloquus,
Vireo bellii,Vireo bellii,
Vireo cassinii,Vireo cassinii,
Vireo flavifrons,Vireo flavifrons,
Vireo gilvus,Vireo gilvus,
Vireo griseus,Vireo griseus,
Vireo huttoni,Vireo huttoni,
Vireo latimeri,Vireo latimeri,
Vireo olivaceus,Vireo olivaceus,
Vireo plumbeus,Vireo plumbeus,
Vireo solitarius,Vireo solitarius,
Vireo vicinior,Vireo vicinior,
Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,
Zenaida asiatica,Zenaida asiatica,
Zenaida aurita,Zenaida aurita,
Zenaida macroura,Zenaida macroura,
Zonotrichia albicollis,Zonotrichia albicollis,
Zonotrichia atricapilla,Zonotrichia atricapilla,
Zonotrichia leucophrys,Zonotrichia leucophrys,