RawSpecies,CleanSpecies,TraitSpecies
Ammospermophilus harrisii,Ammospermophilus harrisii,Ammospermophilus harrisii
Baiomys taylori,Baiomys taylori,Baiomys taylori
Blarina brevicauda,Blarina brevicauda,Blarina brevicauda
Blarina carolinensis,Blarina carolinensis,Blarina carolinensis
Blarina hylophaga,Blarina hylophaga,Blarina hylophaga
Chaetodipus baileyi,Chaetodipus baileyi,Chaetodipus baileyi
Chaetodipus californicus,Chaetodipus californicus,Chaetodipus californicus
Chaetodipus eremicus,Chaetodipus eremicus,Chaetodipus penicillatus
Chaetodipus hispidus,Chaetodipus hispidus,Chaetodipus hispidus
Chaetodipus intermedius,Chaetodipus intermedius,Chaetodipus intermedius
Chaetodipus penicillatus,Chaetodipus penicillatus,Chaetodipus penicillatus
Cryptotis parva,Cryptotis parva,Cryptotis parva
Didelphis virginiana,Didelphis virginiana,Didelphis virginiana
Dipodomys merriami,Dipodomys merriami,Dipodomys merriami
Dipodomys microps,Dipodomys microps,Dipodomys microps
Dipodomys ordii,Dipodomys ordii,Dipodomys ordii
Dipodomys spectabilis,Dipodomys spectabilis,Dipodomys spectabilis
Glaucomys sabrinus,Glaucomys sabrinus,Glaucomys sabrinus
Glaucomys volans,Glaucomys volans,Glaucomys volans
Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus
Lemmiscus curtatus,Lemmiscus curtatus,Lemmiscus curtatus
Lemmus trimucronatus,Lemmus trimucronatus,Lemmus sibiricus
Lepus americanus,Lepus americanus,
Microtus longicaudus,Microtus longicaudus,
Microtus ochrogaster,Microtus ochrogaster,
Microtus oeconomus,Microtus oeconomus,
Microtus oregoni,Microtus oregoni,
Microtus pennsylvanicus,Microtus pennsylvanicus,
Microtus pinetorum,Microtus pinetorum,
Microtus xanthognathus,Microtus xanthognathus,
Mus musculus,Mus musculus,
Mustela erminea,Mustela erminea,
Mustela frenata,Mustela frenata,
Mustela nivalis,Mustela nivalis,
Myodes gapperi,Myodes gapperi,
Myodes rutilus,Myodes rutilus,
Napaeozapus insignis,Napaeozapus insignis,
Neotoma albigula,Neotoma albigula,
Neotoma floridana,Neotoma floridana,
Neotoma lepida,Neotoma lepida,
Neotoma mexicana,Neotoma mexicana,
Neotoma micropus,Neotoma micropus,
Ochrotomys nuttalli,Ochrotomys nuttalli,
Onychomys arenicola,Onychomys arenicola,
Onychomys leucogaster,Onychomys leucogaster,
Onychomys torridus,Onychomys torridus,
Oryzomys palustris,Oryzomys palustris,
Perognathus amplus,Perognathus amplus,
Perognathus flavescens,Perognathus flavescens,
Perognathus flavus,Perognathus flavus,
Perognathus inornatus,Perognathus inornatus,
Perognathus parvus,Perognathus parvus,
Peromyscus boylii,Peromyscus boylii,
Peromyscus californicus,Peromyscus californicus,
Peromyscus eremicus,Peromyscus eremicus,
Peromyscus gossypinus,Peromyscus gossypinus,
Peromyscus keeni,Peromyscus keeni,
Peromyscus leucopus,Peromyscus leucopus,
Peromyscus maniculatus,Peromyscus maniculatus,
Peromyscus polionotus,Peromyscus polionotus,
Peromyscus truei,Peromyscus truei,
Phenacomys intermedius,Phenacomys intermedius,
Rattus rattus,Rattus rattus,
Reithrodontomys fulvescens,Reithrodontomys fulvescens,
Reithrodontomys humulis,Reithrodontomys humulis,
Reithrodontomys megalotis,Reithrodontomys megalotis,
Reithrodontomys montanus,Reithrodontomys montanus,
Sciurus carolinensis,Sciurus carolinensis,
Sigmodon arizonae,Sigmodon arizonae,
Sigmodon hispidus,Sigmodon hispidus,
Sorex bairdi,Sorex bairdi,
Sorex cinereus,Sorex cinereus,
Sorex fumeus,Sorex fumeus,
Sorex haydeni,Sorex haydeni,
Sorex longirostris,Sorex longirostris,
Sorex merriami,Sorex merriami,
Sorex monticolus,Sorex monticolus,
Sorex trowbridgii,Sorex trowbridgii,
Sorex tundrensis,Sorex tundrensis,
Sorex vagrans,Sorex vagrans,
Spermophilus franklinii,Poliocitellus franklinii,
Spermophilus spilosoma,Xerospermophilus spilosoma,
Sylvilagus audubonii,Sylvilagus audubonii,
Sylvilagus floridanus,Sylvilagus floridanus,
Tamias minimus,Tamias minimus,
Tamias rufus,Tamias rufus,
Tamias striatus,Tamias striatus,
Tamias townsendii,Tamias townsendii,
Tamiasciurus douglasii,Tamiasciurus douglasii,
Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,
Zapus hudsonius,Zapus hudsonius,
Zapus princeps,Zapus princeps,
Zapus trinotatus,Zapus trinotatus,